
Pre-schedule statistics


Total nodes: 450

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:16, 0, UNSIGNED};0;4
NodeAdd;{HWOffsetFix:19, 2, UNSIGNED};0;2
NodeAdd;{HWOffsetFix:19, 3, UNSIGNED};0;1
NodeAdd;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;42
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;7
NodeCast;{HWOffsetFix:10, 0, UNSIGNED};0;2
NodeCast;{HWOffsetFix:11, 0, UNSIGNED};0;5
NodeCast;{HWOffsetFix:16, 0, UNSIGNED};0;4
NodeCast;{HWOffsetFix:24, -8, TWOSCOMPLEMENT};0;20
NodeCast;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;20
NodeConstantDouble;HWUntypedConst;0;14
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounterV1;{HWOffsetFix:16, 0, UNSIGNED};0;3
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeGt;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInput;{HWRawBits:1280};0;2
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLt;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeMappedRom;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};1000;1
NodeMappedRom;{HWOffsetFix:64, 0, TWOSCOMPLEMENT};2000;5
NodeMul;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;40
NodeMux;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;42
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeOr;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:16, 1, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:16, 2, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:16, 3, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:16, 4, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:16, 5, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;80
NodeReinterpret;{HWOffsetFix:64, 0, TWOSCOMPLEMENT};0;20
NodeReinterpret;{HWRawBits:32};0;2
NodeReinterpret;{HWRawBits:64};0;5
NodeShift;{HWRawBits:64};0;15
NodeSlice;{HWRawBits:32};0;80
NodeStreamOffset;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;2
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeSub;{HWOffsetFix:16, 0, UNSIGNED};0;1

Final statistics


Total nodes: 466

Node class;Type;Length;Num
NodeAdd;{HWOffsetFix:16, 0, UNSIGNED};0;4
NodeAdd;{HWOffsetFix:19, 2, UNSIGNED};0;2
NodeAdd;{HWOffsetFix:19, 3, UNSIGNED};0;1
NodeAdd;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;42
NodeAnd;{HWOffsetFix:1, 0, UNSIGNED};0;7
NodeCast;{HWOffsetFix:10, 0, UNSIGNED};0;2
NodeCast;{HWOffsetFix:11, 0, UNSIGNED};0;5
NodeCast;{HWOffsetFix:16, 0, UNSIGNED};0;4
NodeCast;{HWOffsetFix:24, -8, TWOSCOMPLEMENT};0;20
NodeCast;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;20
NodeConstantDouble;HWUntypedConst;0;14
NodeConstantRawBits;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeConstantRawBits;{HWOffsetFix:49, 0, UNSIGNED};0;2
NodeCounterV1;{HWOffsetFix:16, 0, UNSIGNED};0;3
NodeCounterV1;{HWOffsetFix:48, 0, UNSIGNED};0;2
NodeEq;{HWOffsetFix:1, 0, UNSIGNED};0;5
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};1;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};19;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};2;1
NodeFIFO;{HWOffsetFix:1, 0, UNSIGNED};7;1
NodeFIFO;{HWOffsetFix:10, 0, UNSIGNED};18;2
NodeFIFO;{HWOffsetFix:16, 0, UNSIGNED};1;3
NodeFIFO;{HWOffsetFix:16, 0, UNSIGNED};4;1
NodeFIFO;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};1;2
NodeFIFO;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};2;2
NodeFIFO;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};98;2
NodeGt;{HWOffsetFix:1, 0, UNSIGNED};0;2
NodeInput;{HWRawBits:1280};0;2
NodeInputMappedReg;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeInputMappedReg;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeLt;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeMappedRom;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};1000;1
NodeMappedRom;{HWOffsetFix:64, 0, TWOSCOMPLEMENT};2000;5
NodeMul;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;40
NodeMux;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;42
NodeNot;{HWOffsetFix:1, 0, UNSIGNED};0;4
NodeOr;{HWOffsetFix:1, 0, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:16, 1, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:16, 2, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:16, 3, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:16, 4, UNSIGNED};0;2
NodeReinterpret;{HWOffsetFix:16, 5, UNSIGNED};0;1
NodeReinterpret;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;80
NodeReinterpret;{HWOffsetFix:64, 0, TWOSCOMPLEMENT};0;20
NodeReinterpret;{HWRawBits:32};0;2
NodeReinterpret;{HWRawBits:64};0;5
NodeShift;{HWRawBits:64};0;15
NodeSlice;{HWRawBits:32};0;80
NodeStreamOffset;{HWOffsetFix:32, -24, TWOSCOMPLEMENT};0;2
NodeStreamOffset;{HWOffsetFix:48, 0, UNSIGNED};0;1
NodeSub;{HWOffsetFix:16, 0, UNSIGNED};0;1
